TransactionAmount,TransactionType,Channel,CustomerAge,TransactionDuration,CustomerOccupation,AccountBalance,Cluster
14.09,Debit,ATM,70,81,Doctor,5112.21,0
376.24,Debit,ATM,68,141,Doctor,13758.91,2
126.29,Debit,Online,19,56,Student,1122.35,1
184.5,Debit,Online,26,25,Student,8569.06,0
13.45,Credit,Online,26,198,Student,7429.4,0
92.15,Debit,ATM,18,172,Student,781.68,1
7.08,Credit,ATM,37,139,Doctor,13316.71,2
171.42,Credit,Branch,67,291,Retired,2796.24,1
106.23,Credit,Branch,51,86,Engineer,9095.14,0
815.96,Debit,ATM,55,120,Doctor,1021.88,1
17.78,Credit,Online,52,59,Engineer,7599.52,0
190.02,Debit,Online,21,173,Student,1528.81,1
494.52,Credit,Branch,24,111,Student,1620.02,1
781.76,Debit,ATM,26,123,Student,189.69,1
166.99,Debit,Online,18,134,Student,299.93,1
465.45,Debit,ATM,36,129,Engineer,3465.54,1
555.8,Credit,Branch,19,158,Student,1131.26,1
492.93,Debit,Online,39,234,Engineer,5109.97,0
18.68,Credit,Branch,59,106,Retired,7948.37,0
71.48,Credit,Online,18,169,Student,6568.59,0
59.32,Debit,Branch,71,38,Retired,5750.89,0
85.77,Debit,Branch,38,93,Doctor,9146.19,2
52.2,Debit,Online,39,120,Engineer,8974.93,0
145.54,Debit,Online,21,96,Student,1930.96,1
7.49,Credit,Online,65,276,Retired,3634.67,1
40.32,Debit,Branch,37,95,Engineer,2686.52,1
127.45,Debit,Online,44,197,Doctor,1772.06,1
56.17,Debit,Branch,27,283,Student,1351.69,1
28.31,Credit,Online,59,20,Doctor,8334.47,0
59.12,Debit,ATM,29,257,Doctor,9823.64,2
877.81,Debit,Online,22,150,Student,399.0,1
255.26,Credit,Branch,45,50,Doctor,14815.87,2
124.76,Debit,Branch,49,45,Engineer,5764.72,0
78.13,Debit,Branch,26,145,Student,900.61,1
649.28,Debit,ATM,75,137,Retired,4875.86,0
335.63,Debit,Online,55,216,Retired,1019.39,1
328.47,Debit,ATM,63,119,Retired,4323.66,0
34.02,Debit,Online,38,19,Doctor,14214.48,2
241.42,Credit,Online,57,116,Doctor,13357.02,2
55.32,Debit,ATM,19,117,Student,241.79,1
304.31,Debit,Branch,27,33,Student,868.61,1
435.27,Debit,Branch,74,90,Retired,4673.28,0
164.49,Debit,Branch,26,75,Student,1509.27,1
510.24,Debit,Online,19,105,Student,781.7,1
626.9,Debit,Online,26,138,Student,265.51,1
22.01,Credit,Online,41,175,Engineer,1335.09,1
425.34,Credit,Online,69,121,Retired,3907.54,1
424.56,Debit,Online,51,264,Engineer,5183.85,0
85.43,Debit,Branch,67,145,Doctor,14904.9,2
169.5,Debit,Branch,28,142,Student,918.88,1
104.63,Debit,ATM,62,90,Retired,4477.78,0
316.95,Debit,Branch,25,83,Student,1324.03,1
60.54,Credit,Branch,57,52,Retired,3534.93,1
292.56,Credit,Branch,68,61,Retired,4638.37,0
386.52,Debit,Branch,48,28,Engineer,5630.61,0
112.07,Debit,Branch,23,51,Student,930.3,1
568.52,Debit,ATM,46,152,Engineer,5499.91,0
349.64,Debit,Online,48,226,Engineer,6651.62,0
601.4,Credit,Branch,56,104,Engineer,8458.29,0
5.77,Debit,Online,50,124,Doctor,13988.12,2
201.33,Credit,Branch,42,186,Engineer,2585.07,1
298.42,Debit,Branch,56,225,Retired,3014.75,1
521.06,Debit,Branch,25,128,Student,1951.42,1
117.28,Credit,Online,60,16,Engineer,3665.77,1
189.12,Credit,Branch,32,103,Engineer,977.01,1
133.55,Debit,ATM,44,220,Engineer,3846.28,1
143.21,Debit,Online,35,135,Engineer,6374.82,0
24.77,Debit,ATM,62,55,Retired,5866.01,0
233.92,Credit,Online,26,280,Student,6537.62,0
232.12,Debit,ATM,37,51,Engineer,6689.87,0
162.63,Debit,Online,22,113,Student,634.17,1
91.53,Debit,Branch,44,69,Doctor,14676.05,2
120.29,Debit,Branch,19,77,Student,1362.39,1
174.25,Debit,Online,50,67,Doctor,10528.34,2
183.71,Debit,ATM,38,102,Engineer,552.52,1
345.39,Credit,Online,58,80,Engineer,6451.96,0
259.91,Debit,Online,49,170,Doctor,7176.86,0
154.71,Debit,Online,34,157,Doctor,1523.72,1
24.56,Debit,Branch,64,69,Doctor,9869.93,2
568.07,Debit,ATM,48,115,Doctor,10556.81,2
9.61,Credit,Online,58,179,Doctor,12883.91,2
392.96,Debit,Online,24,100,Student,791.65,1
716.93,Credit,Online,60,34,Retired,4064.02,1
230.66,Debit,Branch,21,135,Student,618.05,1
442.12,Debit,Online,19,260,Student,1375.8,1
644.17,Debit,ATM,29,72,Engineer,1143.52,1
